Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,,,,
,CO_331:0000163,LfLbN_Et_1to9,LEAFSHAP3,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.7.3,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000025,Leaf Lobe Number,Morphological trait,Number of lateral and central leaf lobes of leaves located in the middle section of the vine,,LfLbN,,Leaf lobe,Number,Recommended,Huaman1991:Def_4.1.7.3,CO_331:0000026,Observation of Leaf Lobe Number,Estimation,Visual estimation,,Huaman1991:Def_4.1.7.3,CO_331:0000027,LefLbN 5 pt. Scale,Ordinal,,,,,1= 1 Lobe,7 = 7 Lobe,9 = 9 Lobe,3 = 3 Lobe,5 = 5 Lobe,,,,,,,,,
,CO_331:0000164,LfLCS_Et_0to9,LEAFSHAP4,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.7.4,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000028,Shape of Central Leaf Lobe,Morphological trait,Shape of the central leaf lobe of a leaf located in the middle section of the vine,,LfLCS,,Leaf central lobe,Shape,Recommended,Huaman1991:Def_4.1.7.4,CO_331:0000029,Observation of Shape of Central Leaf Lobe,Estimation,Visual estimation,,Huaman1991:Def_4.1.7.4,CO_331:0000030,LefLCS 10 pt. Scale,Ordinal,,,,,0 = Absent,3 = Semi-circular,4 = Semi-elliptic,1 = Toothed,2 = Triangular,7 = Oblanceolate,8 = Linear (broad),5 = Elliptic,6 = Lanceolate,9 = Linear (narrow),,,,
,CO_331:0000165,LfLMS_Et_3to9,LFSIZE,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.8,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000031,Mature Leaf Size,Morphological trait,Length of the leaf defined as the distance between the basal lobes and the tip of the leave.,,LfLMS,,Mature leaf,Size,Recommended,Huaman1991:Def_4.1.8,CO_331:0000032,Observation of Mature Leaf Size,Estimation,Visual estimation,,Huaman1991:Def_4.1.8,CO_331:0000033,LefLMS 9 pt. Scale,Ordinal,,,,,3 = Small (<8 cm),9 = Very large (> 25 cm),5 = Medium (8-15 cm),7 = Large (16-25 cm),,,,,,,,,,
,CO_331:0000166,LfAVP_Et_1to9,LFVEIN,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.9,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000034,Abaxial Leaf Vein Pigmentation,Morphological trait,Distribution of anthocyanin (purple) pigmentation shown in the veins of the lower surface of a leaf,,LfAVP,,Leaf,Abaxial vein pigmentation,Recommended,Huaman1991:Def_4.1.9,CO_331:0000035,Observation of Abaxial Leaf Vein Pigmentation,Estimation,Visual estimation,,Huaman1991:Def_4.1.9,CO_331:0000036,LefAVP 9 pt. Scale,Ordinal,,,,,1 = Yellow,4 = Purple spot in several veins,5 = Main rib partially purple,2 = Green,3 = Purple spot in the base of main rib,8 = All veins mostly or totally purple,9 = Lower surface and veins totally purple,6 = Main rib mostly or totally purple,7 = All veins partial purple,,,,,
,CO_331:0000167,LfCMt_Et_1to9,LFMATCO,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.10.1,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000037,Mature Leaf Color,Morphological trait,Describe the overall foliage color considering the color of fully expanded mature leaves of several plants.,,LfCMt,,Mature leaf,Color,Recommended,Huaman1991:Def_4.1.10.1,CO_331:0000038,Observation of Mature Leaf Color,Estimation,Visual estimation,,Huaman1991:Def_4.1.10.1,CO_331:0000039,LefCMt 9 pt. Scale,Ordinal,,,,,1 = Yellow-green,4  = Greyish-green  (due to heavy pubescent),5 = Green with purple veins on upper surface,2 = Green,3 = Green with purple edge,8 = Green upper  purple lower,9 = Purple both surfaces,6 = Slightly purple,7 = Mostly purple,,,,,
,CO_331:0000168,LfColI_Et_1to9,LFINMCO,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.10.2,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000040,Immature Leaf Color,Morphological trait,Describe the overall foliage color considering the color of fully expanded immature leaves of several plants.,,LfColI,,Immature leaf,Color,Recommended,Huaman1991:Def_4.1.10.2,CO_331:0000041,Observation of Immature Leaf Color,Estimation,Visual estimation,,Huaman1991:Def_4.1.10.2,CO_331:0000042,LefCIm 9 pt. Scale,Ordinal,,,,,1 = Yellow-green,4  = Greyish-green  (due to heavy pubescent),5 = Green with purple veins on upper surface,2 = Green,3 = Green with purple edge,8 = Green upper  purple lower,9 = Purple both surfaces,6 = Slightly purple,7 = Mostly purple,,,,,
,CO_331:0000169,FrPtP_Et_1to9,PTIOPG,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.11,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000043,Petiole Pigmentation,Morphological trait,Distribution of anthocyanin (purple) pigmentation in the petioles of leaves. Indicate the most predominant color first.,,FrPtP,,Petiole,Pigmentation,Recommended,Huaman1991:Def_4.1.11,CO_331:0000044,Observation of Petiole Pigmentation,Estimation,Visual estimation,,Huaman1991:Def_4.1.11,CO_331:0000045,FlrPtP 9 pt. Scale,Ordinal,,,,,1 = Green,4 = Green with purple both ends,5 = Green with purple spots throughout petiole,2 = Green with purple near steam,3 = Green width purple near leaf,8 = Some petioles purple  others green,9 = Totally or mostly purple,6 = Green with multiple stripes,7 = Purple with green near leaf,,,,,
,CO_331:0000173,FrPtL_Et_1to9,PETIOL,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.1.11,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000170,Petiole length,Morphological trait,Petiole length from the base to the insertion with the blade,,FrPtL,,Petiole,Length,Recommended,Huaman1991:Def_4.1.12,CO_331:0000171,"Average petiole length, from the base to the insertion with the blade, of at least three leaves in the middle portion of a main vine",Estimation,Visual estimation,,Huaman1991:Def_4.1.11,CO_331:0000172,FlrPtL 5 pt. Scale,Ordinal,,,,,1=Very short (<10 cm),7=Long (31-40 cm),9=Very long (>40 cm),3=Short (10-20 cm),5=Intermediate (21-30 cm),,,,,,,,,
,CO_331:0000174,FRnol_Et_1to6,FLORCOL,Characterizing stocks,RG,Recommended,Huaman1991:Def_4.3.2,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000046,Flower color,Morphological trait,The most representative color in the flowers,,FRnol,,Flower,Color,Recommended,Huaman1991:Def_4.3.2,CO_331:0000047,Observation of newly opened flowers,Estimation,Visual estimation,,Huaman1991:Def_4.3.2,CO_331:0000048,FlrCol  6 pt. Scale,Ordinal,,,,,1= White,4 = Pale purple limb with purple throat,5 = Purple,2 = White limb with purple throat,3 = White limb with pale purple ring and purple throat,6 = Other,,,,,,,,
,CO_331:0000175,RtSknColP_Et_1to9,"RTSKN1, SCOL","Characterizing stocks,  Evaluation in Trials",RB,Recommended,"Huaman1991:Def_4.2.4.1, Grueneberg2010:Def_25","CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000049,Predominant Skin color,Morphological trait,The most representative skin color  of the root,,RtSknColP,,Storage root skin,Color,Recommended,"Huaman1991:Def_4.2.4.1, Grueneberg2010:Def_25",CO_331:0000050,"Observation of predominant Skin color, many freshly harvested storage roots should be washed and dried prior to evaluation.",Estimation,Visual estimation,,"Huaman1991:Def_4.2.4.1, Grueneberg2010:Def_25",CO_331:0000051,PrdSknCol 9 pt. scale,Ordinal,,,,,1 = White,4 = Orange,5 = Brownish orange,2 = Cream,3 = Yellow,8 = Purple-red,9 = Dark purple,6 = Pink,7 = Red,,,,,
,CO_331:0000176,RtSknColPI_Et_1to3,RTSKN2,Characterizing stocks,RB,Recommended,Huaman1991:Def_4.2.4.2,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000052,Intensity of Predominant Skin color,Morphological trait,Intensity of Predominant Skin color of the root,,RtSknColPI,,Storage root skin,Intensity of predominant color,Recommended,Huaman1991:Def_4.2.4.2,CO_331:0000053,Observation of Intensity of Predominant Skin color,Estimation,Visual estimation,,Huaman1991:Def_4.2.4.2,CO_331:0000054,SknCPI  3 pt. Scale,Ordinal,,,,,1= Pale,2 = Intermediate,3 = Dark,,,,,,,,,,,
,CO_331:0000177,RtSknColS_Et_1to10,RTSKN3,Characterizing stocks,RB,Recommended,Huaman1991:Def_4.2.4.3,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000055,Secondary Skin color,Morphological trait,The less representative skin color of the root,,RtSknColS,,Storage root skin,Secondary color,Recommended,Huaman1991:Def_4.2.4.3,CO_331:0000056,Observation of Secondary Skin color,Estimation,Visual estimation,,Huaman1991:Def_4.2.4.3,CO_331:0000057,SknCSc  10 pt. Scale,Ordinal,,,,,0 = Absent,3 = Yellow,4 = Orange,1 = White,2 = Cream,7 = Red,8 = Purple-red,5 = Brownish orange,6 = Pink,9 = Dark purple,,,,
,CO_331:0000178,RtFlsColP_Et_1to9,"RTFSH1, FCOL","Characterizing stocks,  Evaluation in Trials",RB,Recommended,"Huaman1991:Def_4.2.5.1, Grueneberg2010:Def_26","CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000058,Predominant Flesh color,Morphological trait,The most representative flesh color of the root,,RtFlsColP,,Storage root flesh,Color,Recommended,"Huaman1991:Def_4.2.5.1, Grueneberg2010:Def_26",CO_331:0000059,Observation of predominant Flesh color described from cross and longitudinal sections made about the middle of freshly harvested storage roots,Estimation,Visual estimation,,"Huaman1991:Def_4.2.5.1, Grueneberg2010:Def_26",CO_331:0000060,PrdFlshCol 9 pt. scale,Ordinal,,,,,1 = White,4 = Pale yellow,5 = Dark yellow,2 = Cream,3 = Dark cream,8 = Dark orange,9 = Strongly pigmented with anthocyanins,6 = Pale orange,7 = Intermediate orange,,,,,
,CO_331:0000179,RtFlsColS_Et_0to9,RTFSH2,Characterizing stocks,RB,Recommended,Huaman1991:Def_4.2.5.2,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000061,Secondary Flesh color,Morphological trait,The less representative flesh color of the root,,RtFlsColS,,Storage root flesh,Secondary color,Recommended,Huaman1991:Def_4.2.5.2,CO_331:0000062,Observation of Secondary Flesh color,Estimation,Visual estimation,,Huaman1991:Def_4.2.5.2,CO_331:0000063,FlsCSc 10 pt. Scale,Ordinal,,,,,0 = Absent,3 = Yellow,4 = Orange,1 = White,2 = Cream,7 = Purple-red,8 = Purple,5 = Pink,6 = Red,9 = Dark purple,,,,
,CO_331:0000180,RtFlsColSD_Et_1to9,RTFSH3,Characterizing stocks,RB,Recommended,Huaman1991:Def_4.2.5.3,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000064,Distribution of Secondary Flesh color,Morphological trait,Distribution of Secondary Flesh color of the root,,RtFlsColSD,,Storage root flesh,Distribution of Secondary color,Recommended,Huaman1991:Def_4.2.5.3,CO_331:0000065,Observation of Distribution of Secondary Flesh color described from cross and longitudinal sections made about the middle of freshly harvested storage roots,Estimation,Visual estimation,,Huaman1991:Def_4.2.5.3,CO_331:0000066,FlsCSD 10 pt. Scale,Ordinal,,,,,0 = Absent,3 = Scattered spots in flesh,4 = Narrow ring in flesh,1 = Narrow ring in cortex,2 = Broad ring in cortex,7 = In longitudinal sections,8 = Covering most of the flesh,5 = Broad ring in flesh,6 = Ring and other areas in flesh,9 = Covering all flesh,,,,
,CO_331:0000181,RtShp_Et_1to9,RTSHP,Characterizing stocks,RB,Recommended,Huaman1991:Def_4.2.1,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000067,Storage Root Shape,Morphological trait,Overall assessment of storage root shape,,RtShp,,Storage root,Shape,Recommended,Huaman1991:Def_4.2.1,CO_331:0000068,Observation of  Storage Root Shape described from longitudinal sections made about the middle of freshly harvested storage roots,Estimation,Visual estimation,,Huaman1991:Def_4.2.1,CO_331:0000069,Storage Root Shape (primary),Ordinal,,,,,1 = Round,4 = Ovate,5 = Obovate,2  = Round elliptic,3 = Elliptic,8 = Long elliptic,9 = Long irregular or curved,6 = Oblong,7 = Long oblong,,,,,
,CO_331:0000182,RtLxP_Et_3to7,RTLATX,Characterizing stocks,RB,Recommended,Huaman1991:Def_6.1.7,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000070,Latex Production in Storage Roots,Morphological trait,Amount of latex observed after cross sectioning medium-sized storage roots,,RtLxP,,Storage root,Latex Production,Recommended,Huaman1991:Def_6.1.7,CO_331:0000071,Observation of Latex Production in Storage Roots,Estimation,Visual estimation,,Huaman1991:Def_6.1.7,CO_331:0000072,RtLat 3 pt. Scale,Ordinal,,,,,3 = Little,5 = Some,7 = Abundant,,,,,,,,,,,
,CO_331:0000183,RtOxi_Et_3to7,RTOXID,Characterizing stocks,RB,Recommended,Huaman1991:Def_6.1.8,"CIP, FAO, IPGRI",Z. Huaman,42349,EN,Sweetpotato,CO_331:0000073,Oxidation in Storage Roots,Morphological trait,Amount of browning due to oxidation,,RtOxi,,Storage root,Oxidation,Recommended,Huaman1991:Def_6.1.8,CO_331:0000074,Observation of Oxidation in Storage Roots 5-10 seconds after storage roots are cut in cross section.,Estimation,Visual estimation,,Huaman1991:Def_6.1.8,CO_331:0000075,RtOxi 3 pt. Scale,Ordinal,,,,,3 = Little,5 = Some,7 = Abundant,,,,,,,,,,,
,CO_331:0000184,RtSiz_Et_1to9,RS,Evaluation in Trials,RB,Legacy,Grueneberg2010:Def_27,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000076,Storage root size,Morphological trait,Overall assessment of storage root size based on inspection of the harvested roots,,RtSiz,,Storage root,Size,Legacy,Grueneberg2010:Def_27,CO_331:0000077,Storage root size - Method,Estimation,Overall assessment of storage root size based on inspection of the harvested roots.  Use a 1 to 9 scale.,,Grueneberg2010:Def_27,CO_331:0000078,RtSize 5 pt. scale,Ordinal,,,,,1 = Excellent,7 = Poor,9 = terrible,3 = Good,5 = Fair,,,,,,,,,
,CO_331:0000188,RtCth_Et_1to9,RCORTEX,Evaluation in Trials,RB,Recommended,Huaman1991:Def_4.2.3,CIP,Z. Huaman,42349,,Sweetpotato,CO_331:0000185,Storage root cortex thickness,Morphological trait,Thicknes of  the outermost layer of a stem or root in a plant (cortex),,RtCth,,Storage root,cortex,Recommended,Huaman1991:Def_4.2.3,CO_331:0000186,Observation of Storage root cortex thickness,Estimation,Visual estimation,,Huaman1991:Def_4.2.3,CO_331:0000187,RtCth 5 pt. scale,Ordinal,,,,,1= Very thin (<1 mm),7=Thick (3-4 mm),9=Very thick (>4 mm),3= Thin (1-2 mm),5=Intermediate (2-3 mm),,,,,,,,,
,CO_331:0000192,PltEst_Ct_plplot,NOPE,Evaluation in Trials,EE,Standard for CIP,Grueneberg2010:Def_12,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000189,Number of plants established,Agronomic trait,Number of plants established,,PltEst,,Plant,Number,Standard CIP,Grueneberg2010:Def_12,CO_331:0000190,Recording planting materials,Counting,Counting plants/vines planted.,,Grueneberg2010:Def_11,CO_331:0000191,plants/plot,Numerical,0,0,,,,,,,,,,,,,,,,
,CO_331:0000193,RnVir_Et_1to9,VIR1,Evaluation in Trials,RG,Recommended,Grueneberg2016:Def_11,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000094,Virus symptoms,Biotic stress trait,Virus symptoms evaluation,,RnVir,,Plant,Symptom Virus,Recommended,Grueneberg2016:Def_11,CO_331:0000095,Virus symptoms evaluation,Estimation,Visual estimation,,Grueneberg2010:Def_13,CO_331:0000096,VirSym 9 pt. scale,Ordinal,,,,,1= No virus symptoms,4= Clear virus symptoms at 6 to 15% of plants per plot,5= Clear virus symptoms at 16 to 33% of plants per plot,2= Unclear virus symptoms,3= Clear virus symptoms < 5% of plants per plot,8= Clear virus symptoms at all plants per plot (not stunted),9= Severe virus symptoms in all plants per plot (stunted).,6= Clear virus symptoms at 34 to 66% of plants per plot (more than 1/3 less than 2/3),7= Clear virus symptoms at 67 to 99 % of plants per plot (2/3 to almost all),,,,,
,CO_331:0000197,VnVg_Et_1to9,VV1,Evaluation in Trials,RG,Recommended,Grueneberg2016:Def_15,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000194,Vine vigor,Agronomic trait,Vine vigor evaluation,,VnVg,,Vine,Vigor,Recommended,Grueneberg2016:Def_15,CO_331:0000195,Observation of plant vigour,Estimation,Visual estimation,,Grueneberg2010:Def_17,CO_331:0000196,VinVgr 9 pt. scale,Ordinal,,,,,1= Nearly no vines,"4= Medium strong vines, medium thick stems, and medium internode distances","5= Medium strong vines, thick  vines, and long internode distances",2= Weak vines,"3= Weak to medium strong vines, medium thick stems, and long internode distances","8= Strong vines, thick stems, short internode distances, and long vines,","9= Very strong vine strength, thick stems, short internode distances, and very long vines","6= Medium strong vines, thick stems, and medium internode distances","7= Strong vines, thick stems, short internode distances, and medium-long vines",,,,,
,CO_331:0000198,RnAlt_Et_1to9,"ALT1, AS1","Characterizing stocks,  Evaluation in Trials",RG,Recommended,Grueneberg2016:Def_13,"CIP, SASHA",W. Grueneberg,42349,EN,Sweetpotato,CO_331:0000091,Reaction to Early Blight: (Alternaria spp),Biotic stress trait,Alternaria symptoms evaluation,,RnAlt,,Plant,Reaction to Alternaria,Recommended,Grueneberg2016:Def_13,CO_331:0000092,Early Blight Evaluation: (Alternaria),Estimation,Visual estimation,,Grueneberg2010:Def_15,CO_331:0000093,AltSm 9 pt. scale,Ordinal,,,,,1 = No symptoms,4 = Clear symptoms at 6 to 15% of plants per plot,5 = Clear symptoms at 16 to 33% of plants per plot (less than 1/3),2 = Unclear symptoms,3 = Clear symptoms at <5% per plot,8 = Clear symptoms at all plants (not fully defoliated),9 = Severe symptoms at all plants per plot (fully defoliated),6 = Clear symptoms at 34 to 66% of plants per plot (more than 1/3,7 = Clear symptoms at 67 to 99 % of plants per plot (2/3 to almost all),,,,,
,CO_331:0000202,RtFrm_Et_1to9,RF,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_25,"CIP, SASHA",W. Grueneberg,31/03/2015,EN,Sweetpotato,CO_331:0000199,Storage root form,Agronomic trait,Overall assessment of storage root form,,RtFrm,,Storage root,Shape,Recommended,"Huaman1991:Def_4.2.1,Grueneberg2016:Def_25",CO_331:0000200,Storage root form - Method,Estimation,Overall assessment of storage root form based on inspection of the harvested roots. Use a 1 to 9 scale.,,Grueneberg2016:Def_25,CO_331:0000201,RtForm 9 pt. scale,Ordinal,,,,,1= Excellent,4= Good to fair,5= Fair,2= Excellent to good,3= Good,8= Poor to terrible,9= Terrible,6= Fair to poor,7= Poor,,,,,
,CO_331:0000206,RtDmg_Et_1to9,DAMR,Evaluation in Trials,PS,Recommended,Grueneberg2016:Def_26,"CIP, SASHA",W. Grueneberg,31/03/2015,EN,Sweetpotato,CO_331:0000203,Number of storage root damages,Agronomic trait,Root with structural damages,,RtDmg,,Storage root,Damage,Recommended,Grueneberg2016:Def_26,CO_331:0000204,Storage root damage,Estimation,Overall assessment of damage based on inspection of the harvested roots. Use a 1 to 9 scale.,,Grueneberg2016:Def_26,CO_331:0000205,RtsDam 5 pt. scale,Ordinal,,,,,1= None,7 = Severe (30?60% roots affected),9 = Very severe (> 60% roots affected),3 = Light (few roots affected),5 = Moderate (10?30% damaged),8= Heavy to severe damage,9= Severe damage,6= Moderate to heavy,7= Heavy,,,,,
