curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13,Category 14
,CO_331:0000166,LfAVP_Et_1to9,LFVEIN,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.9,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000034,Abaxial leaf vein pigmentation,Morphological,The pigmentation of the abaxial leaf vein,,LfAVP,,Abaxial leaf vein,Pigmentation,Recommended,Huaman1991:Def_4.1.9,CO_331:0000035,Visual estimation - abaxial leaf vein pigmentation,Estimation,Observe the pigmentation of the abaxial leaf vein and rate it. Describe the most frequent expression of the distribution of the anthocyanin (purple) pigmentation shown in the veins of the lower surface of leaves,,Huaman1991:Def_4.1.9,CO_331:0000036,LfAVP 9 pt. scale,Nominal,,,,Huaman1991:Def_4.1.9,1 = Yellow,2 = Green,3 = Purple spot in the base of main rib,4 = Purple spot in several veins,5 = Main rib partially purple,6 = Main rib mostly or totally purple,7 = All veins partially purple,8 = All veins mostly or totally purple,9 = Lower surface and veins totally purple,,,,,
,CO_331:0000167,LfCMt_Et_1to9,LFMATCO,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.10.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000037,Mature leaf color,Morphological,The color of the mature leaf,,LfCMt,,Mature leaf,Color,Recommended,Huaman1991:Def_4.1.10.1,CO_331:0000038,Visual estimation - Mature leaf color,Estimation,Observe the mature leaf color and rate it,,Huaman1991:Def_4.1.10.1,CO_331:0000039,LfCMt 9 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.10.1,1 = Yellow-green,2 = Green,3 = Green with purple edge,4 = Greyish-green (due to heavy pubescence),5 = Green with purple veins on upper surface,6 = Slightly purple,7 = Mostly purple,"8 = Green upper, purple lower",9 = Purple both surfaces,,,,,
,CO_331:0000168,LfColI_Et_1to9,LFINMCO,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.10.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000040,Immature leaf color,Morphological,The color of the inmature leaf,,LfColI,,Immature leaf,Color,Recommended,Huaman1991:Def_4.1.10.2,CO_331:0000041,Visual estimation - Inmature leaf color,Estimation,Observe the immature leaf color and rate it,,Huaman1991:Def_4.1.10.2,CO_331:0000042,LfColI 9 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.10.2,1 = Yellow-green,2 = Green,3 = Green with purple edge,4 = Greyish-green (due to heavy pubescence),5 = Green with purple veins on upper surface,6 = Slightly purple,7 = Mostly purple,"8 = Green upper, purple lower",9 = Purple both surfaces,,,,,
,CO_331:0000169,FrPtP_Et_1to9,PTIOPG,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.11,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000043,Petiole pigmentation,Morphological,The pigmentation of the petiole,,FrPtP,,Petiole,Pigmentation,Recommended,Huaman1991:Def_4.1.11,CO_331:0000044,Visual estimation -Petiole pigmentation,Estimation,Observe the petiole pigmentation and rate it. Distribution of anthocyanin (purple) pigmentation in the petioles of leaves,,Huaman1991:Def_4.1.11,CO_331:0000045,FrPtP 9 pt. scale,Nominal,,,,Huaman1991:Def_4.1.11,1 = Green,2 = Green with purple near stem,3 = Green with purple near leaf,4 = Green with purple both ends,5 = Green with purple spots throughout petiole,6 = Green with multiple stripes,7 = Purple with green near leaf,"8 = Some petioles purple, others green",9 = Totally or mostly purple,,,,,
,CO_331:0000173,FrPtL_Et_1to9,PETIOL,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.1.11,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000170,Petiole length,Morphological,The length of the petiole,,FrPtL,,Petiole,Length,Recommended,Huaman1991:Def_4.1.11,CO_331:0000171,Measurement - Petiole length,Measurement,Measure petiole length and rate it. Average petiole length from the base to the insertion with the blade of at least 3 leaves in the middle portion of a main vine,,Huaman1991:Def_4.1.11,CO_331:0000172,FrPtL 5 pt. scale,Ordinal,,,,Huaman1991:Def_4.1.11,1 = Very short (<10 cm),3 = Short (10-20 cm),5 = Intermediate (21-30 cm),7 = Long (31-40 cm),9 = Very long (>40 cm),,,,,,,,,
,CO_331:0000174,FRnol_Et_1to6,FLORCOL,Characterizing stocks,Root growing (RG),Recommended,Huaman1991:Def_4.3.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000046,Flower color,Morphological,The color of the flower,,FRnol,,Flower,Color,Recommended,Huaman1991:Def_4.3.2,CO_331:0000047,Visual estimation - Flower color,Estimation,Observe the flower color and rate it,,Huaman1991:Def_4.3.2,CO_331:0000048,Frnol 6 pt. scale,Ordinal,,,,Huaman1991:Def_4.3.2,1= White,2 = White limb with purple throat,3 = White limb with pale purple ring and purple throat,4 = Pale purple limb with purple throat,5 = Purple,6 = Other,,,,,,,,
,CO_331:0000175,RtSknColP_Et_1to9_CIP,"RTSKN1, SCOL","Characterizing stocks,Evaluation in Trials",Root bulking (RB),Recommended,Gruneberg2019:Def_23,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000049,Storage root skin predominant color,Morphological,The predominant or the most representative color of the storage root skin observed is recorded,,RtSknCol,,Storage root skin,Predominant color,Recommended,Gruneberg2019:Def_23,CO_331:0002080,Visual estimation - Storage root skin color,Estimation,Observe the predominant color of the storage root skin and rate it,,Gruneberg2019:Def_23,CO_331:0000051,RtSknColP 9 pt. scale,Ordinal,,,,Gruneberg2019:Def_23,1 = White,2 = Cream,3 = Yellow,4 = Orange,5 = Brownish orange,6 = Pink,7 = Red,8 = Purple-red,9 = Dark purple,,,,,
,CO_331:0000176,RtSknColPI_Et_1to3,RTSKN2,Characterizing stocks,Root bulking (RB),Recommended,Huaman1991:Def_4.2.4.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000052,Storage root skin intensity of predominant color,Morphological,The intensity of predominant color of the storage root skin,,RtSknColPI,,Storage root skin,Intensity of predominant color,Recommended,Huaman1991:Def_4.2.4.2,CO_331:0000053,Visual estimation - Storage root skin intensity of predominant color,Estimation,Observe the predominant color intensity of the storage root and rate it,,Huaman1991:Def_4.2.4.2,CO_331:0000054,RtSknColPI 3 pt. scale,Ordinal,,,,Huaman1991:Def_4.2.4.2,1= Pale,2 = Intermediate,3 = Dark,,,,,,,,,,,
,CO_331:0000177,RtSknColS_Et_1to10,RTSKN3,Characterizing stocks,Root bulking (RB),Recommended,Huaman1991:Def_4.2.4.3,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000055,Storage root skin secondary skin color,Morphological,The secondary color of the storage root skin,,RtSknColS,,Storage root skin,Secondary color,Recommended,Huaman1991:Def_4.2.4.3,CO_331:0000056,Visual estimation - storage root skin secondary color,Estimation,Observe the secondary skin color of the storage root and rate it,,Huaman1991:Def_4.2.4.3,CO_331:0000057,RtSknColS 10 pt. scale,Ordinal,,,,Huaman1991:Def_4.2.4.3,0 = Absent,1 = White,2 = Cream,3 = Yellow,4 = Orange,5 = Brownish orange,6 = Pink,7 = Red,8 = Purple-red,9 = Dark purple,,,,
,CO_331:0000178,RtFlsColP_Et_1to9,"RTFSH1, FCOL","Characterizing stocks,Evaluation in Trials",Root bulking (RB),Recommended,Gruneberg2019:Def_24,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000058,Storage root predominant Flesh color,Morphological,The predominant color of the storage root flesh in a longitudinal section of the root,,RtFlsColP,,Storage root flesh,Predominant color,Recommended,Gruneberg2019:Def_24,CO_331:0000059,Visual estimation - Storage root flesh predominant color,Estimation,Observe the predominant color of the storage root flesh and rate it,,Gruneberg2019:Def_24,CO_331:0000060,RtFlsColP 9 pt. scale,Ordinal,,,,Gruneberg2019:Def_24,1 = White,2 = Cream,3 = Dark cream,4 = Pale yellow,5 = Dark yellow,6 = Pale orange,7 = Intermediate orange,8 = Dark orange,9 = Strongly pigmented with anthocyanins,,,,,
,CO_331:0000179,RtFlsColS_Et_0to9,RTFSH2,Characterizing stocks,Root bulking (RB),Recommended,Huaman1991:Def_4.2.5.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000061,Storage root flesh secondary color,Morphological,The secondary color of the storage root flesh,,RtFlsColS,,Storage root flesh,Secondary color,Recommended,Huaman1991:Def_4.2.5.2,CO_331:0000062,Visual estimation - Storage root flesh secondary color,Estimation,Observe the secondary color of the storage root flesh and rate it,,Huaman1991:Def_4.2.5.2,CO_331:0000063,RtFlsColS 10 pt. scale,Ordinal,,,,Huaman1991:Def_4.2.5.2,0 = Absent,1 = White,2 = Cream,3 = Yellow,4 = Orange,5 = Pink,6 = Red,7 = Purple-red,8 = Purple,9 = Dark purple,,,,
,CO_331:0000180,RtFlsColSD_Et_1to9,RTFSH3,Characterizing stocks,Root bulking (RB),Recommended,Huaman1991:Def_4.2.5.3,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000064,Storage root flesh distribution of secondary color,Morphological,The distribution of secondary color of the storage root flesh,,RtFlsColSD,,Storage root flesh,Distribution of secondary color,Recommended,Huaman1991:Def_4.2.5.3,CO_331:0000065,Visual estimation - Storage root flesh distribution of secondary color,Estimation,Observe the distribution of secondary color of the storage root flesh and rate it,,Huaman1991:Def_4.2.5.3,CO_331:0000066,RtFlsColSD 10 pt. scale,Nominal,,,,Huaman1991:Def_4.2.5.3,0 = Absent,1 = Narrow ring in cortex,2 = Broad ring in cortex,3 = Scattered spots in flesh,4 = Narrow ring in flesh,5 = Broad ring in flesh,6 = Ring and other areas in flesh,7 = In longitudinal sections,8 = Covering most of the flesh,9 = Covering all flesh,,,,
,CO_331:0000181,RtShp_Et_1to9,RTSHP,Characterizing stocks,Root bulking (RB),Recommended,Huaman1991:Def_4.2.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000067,Storage root primary shape,Morphological,The shape of the storage root,,RtShp,,Storage root,Shape,Recommended,Huaman1991:Def_4.2.1,CO_331:0000068,Visual estimation - Storage root shape,Estimation,Observe the shape of the storage root and rate it,,Huaman1991:Def_4.2.1,CO_331:0000863,RtShp 9 pt. scale,Nominal,,,,Huaman1991:Def_4.2.1,1 = Round,2 = Round elliptic,3 = Elliptic,4 = Ovate,5 = Obovate,6 = Oblong,7 = Long oblong,8 = Long elliptic,9 = Long irregular or curved,,,,,
,CO_331:0000182,RtLxP_Et_3to7,RTLATX,Characterizing stocks,Root bulking (RB),Recommended,Huaman1991:Def_6.1.7,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000070,Storage root latex production,Morphological,The latex production of the storage root,,RtLxP,,Storage root,Latex Production,Recommended,Huaman1991:Def_6.1.7,CO_331:0000071,Visual estimation - Storage root latex production. Amount of latex observed after cross sectioning medium-sized storage roots,Estimation,Observe the latex production of the storage root and rate it,,Huaman1991:Def_6.1.7,CO_331:0000072,RtLxP 3 pt. scale,Ordinal,,,,Huaman1991:Def_6.1.7,3 = Little,5 = Some,7 = Abundant,,,,,,,,,,,
,CO_331:0000183,RtOxi_Et_3to7,RTOXID,Characterizing stocks,Root bulking (RB),Recommended,Huaman1991:Def_6.1.8,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000073,Storage root oxidation,Morphological,The oxidation of the storage root,,RtOxi,,Storage root,Oxidation,Recommended,Huaman1991:Def_6.1.8,CO_331:0000074,Visual estimation - Storage root oxidation,Estimation,Observe the oxidation of the storage root and rate it,,Huaman1991:Def_6.1.8,CO_331:0000075,RtOxi 3 pt. scale,Ordinal,,,,Huaman1991:Def_6.1.8,3 = Little,5 = Some,7 = Abundant,,,,,,,,,,,
,CO_331:0000184,RtSiz_Et_1to9,RS,Evaluation in Trials,Root bulking (RB),Recommended,Gruneberg2019:Def_25,"CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0000076,Storage root size,Morphological,The size of the storage root,,RtSiz,,Storage root,Size,Recommended,Gruneberg2019:Def_25,CO_331:0000077,Visual estimation - Storage root size,Estimation,Observe the storage root size and rate it,,Gruneberg2019:Def_25,CO_331:0000078,RtSiz 5 pt. scale,Ordinal,,,,Gruneberg2019:Def_25,1 = Excellent,3 = Good,5 = Fair,7 = Poor,9 = terrible,,,,,,,,,
,CO_331:0000192,PltEst_Ct_plplot,NOPE,Evaluation in Trials,Emergency (EE),Standard CIP,"Gruneberg et al., 2019:Def_10","CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0000189,Number of plants established,Other/Crop research,Evaluation of the number of plants established,,PltEst,,Plants established,Number,Recommended,"Gruneberg et al., 2019:Def_10",CO_331:0002046,Counting - Number of plants established method,Counting,Count the number of plants established per net plot to be determined 3 weeks after planting and record it,,"Gruneberg et al., 2019:Def_10",CO_331:0000871,plants/plot,Numerical,0.0,0.0,,"Gruneberg et al., 2019",,,,,,,,,,,,,,
,CO_331:0000193,RnVir_Et_1to9,VIR1,Evaluation in Trials,Root growing (RG),Recommended,"Gruneberg2019:Def_11, 12","CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0000094,Virus symptoms,Biotic stress,The symptoms of the plant to virus,,RnVir,,Plant,Symptom Virus,Recommended,"Gruneberg2019:Def_11, 12",CO_331:0000095,Visual estimation - Virus symptoms,Estimation,Observe the virus symptoms and rate it,,"Gruneberg2019:Def_11, 12",CO_331:0000096,RnVir 9 pt. scale,Ordinal,,,,"Gruneberg2019:Def_11, 12",1= No virus symptoms,2= Unclear virus symptoms,3= Clear virus symptoms < 5% of plants per plot,4= Clear virus symptoms at 6 to 15% of plants per plot,5= Clear virus symptoms at 16 to 33% of plants per plot,6= Clear virus symptoms at 34 to 66% of plants per plot (i.e. > 1/3 and < 2/3),7= Clear virus symptoms at 67 to 99 % of plants per plot (2/3 to almost all),8= Clear virus symptoms at all plants per plot (not stunted),9= Severe virus symptoms in all plants per plot (stunted).,,,,,
,CO_331:0000197,VnVg_Et_1to9,VV,Evaluation in Trials,Harvest (H),Recommended,"Gruneberg et al., 2019:Def_15","CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0000194,Vine vigor,Agronomic,The vigor of the vine,,VnVg,,Vine,Vigor,Recommended,"Gruneberg et al., 2019:Def_15",CO_331:0000195,Estimation - Observation of plant vigor method,Estimation,Observe the vigor of the vine and rate it,,"Gruneberg et al., 2019:Def_15",CO_331:0000196,VnVg 9 pt. scale,Ordinal,,,,"Gruneberg et al., 2019:Def_15",1= Nearly no vines,"2= Weak vines, thin stems and very long internode distances","3= Weak to medium strong vines, medium thick stems, and long internode distances","4= Medium strong vines, medium thick stems, and medium internode distances","5= Medium strong vines, thick stems, and long internode distances","6= Medium strong vines, thick stems, and medium internode distances","7= Strong vines, thick stems, short internode distances, and medium-long vines","8= Strong vines, thick stems, short internode distances, and long vines","9= Very strong vine strength, thick stems, short internode distances, and very long vines",,,,,
,CO_331:0000198,RnAlt_Et_1to9,"ALT1, AS1","Characterizing stocks,Evaluation in Trials",Root growing (RG),Recommended,"Gruneberg2019:Def_13, 14","CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0000091,Reaction to Alternaria spp,Biotic stress,The symptoms of the plant to Alternaria,,RnAlt,,Plant,Reaction to Alternaria,Recommended,"Gruneberg2019:Def_13, 14",CO_331:0000092,Visual estimation - Reaction of the plant to Alternaria spp,Estimation,Observe the reaction to Early Blight: Alternaria spp and rate it,,"Gruneberg2019:Def_13, 14",CO_331:0000093,RnAlt 9 pt. scale,Ordinal,,,,"Gruneberg2019:Def_13, 14",1 = No symptoms,2 = Unclear symptoms,3 = Clear symptoms at <5% per plot,4 = Clear symptoms at 6 to 15% of plants per plot,5 = Clear symptoms at 16 to 33% of plants per plot (less than a 1/3),6 = Clear symptoms for 34?66% of plants per plot (i.e. > 1/3 and < 2/3),7 = Clear symptoms for 67?99% of plants per plot (2/3 to almost all),8 = Clear symptoms for all plants (not fully defoliated),9 = Severe symptoms for all plants per plot (fully defoliated),,,,,
,CO_331:0000202,RtApr_Et_1to9_CIP,RF,Evaluation in Trials,Root bulking (RB),Recommended,Gruneberg2019:Def_26,"CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0000199,Storage root appearance,Morphological,The appearance of the storage root,Storage root form,RtApr,,Storage root,Appearance,Recommended,Gruneberg2019:Def_26,CO_331:0000200,Visual estimation - Storage root appearance,Estimation,Observe the appearance of the storage root and rate it,,Gruneberg2019:Def_26,CO_331:0000201,RtFrm 9 pt. scale,Ordinal,,,,Gruneberg2019:Def_26,1 = Excellent,2 = Excellent to good,3 = Good,4 = Good to fair,5 = Fair,6 = Fair to poor,7 = Poor,8 = Poor to terrible,9 = Terrible,,,,,
